Sitecode,Monthcode,Replicate,Wrack,Armases_4m2,Part_sampled,Height,Width,Depth,Galls,Miners,Neither,Toughness1,Toughness2,Toughness3
11,6,5,13,0,1,160,130,100,3,0,27,75,92,165
11,7,1,26,0,1,170,100,100,14,4,12,175,165,185
11,7,2,6,1,0.5,170,125,170,9,0,21,150,225,145
11,7,3,13,0,1,200,105,125,2,1,27,210,160,230
11,7,4,1,1,1,170,150,100,9,1,20,105,180,235
11,7,5,9,0,1,160,145,160,3,1,26,185,210,110
11,7,6,6,2,1,160,60,90,8,2,20,110,90,215
11,7,7,9,4,1,145,120,100,6,2,22,215,125,165
11,7,8,11,8,0.5,120,150,100,9,1,20,210,150,135
11,8,1,4,0,1,195,150,100,16,0,14,230,255,160
11,8,2,6,4,1,175,155,95,6,1,23,155,180,150
11,8,3,5,5,1,100,95,60,25,2,3,150,250,130
11,8,4,4,2,0.5,195,75,80,16,1,13,125,160,160
11,8,5,4,0,1,180,130,100,16,1,13,180,180,220
11,8,6,10,9,0.5,190,100,120,12,1,17,150,135,180
11,8,7,5,6,0.5,140,120,75,18,2,10,190,220,240
11,8,8,5,12,1,150,125,95,21,0,9,120,90,80
12,6,1,6,0,1,115,60,90,0,1,29,170,205,140
12,6,2,2,0,1,130,60,80,0,1,29,220,180,205
12,6,3,74,0,0.5,160,135,130,0,0,30,205,180,140
12,6,4,31,0,1,150,85,100,0,3,27,205,150,175
12,6,5,0,0,1,150,65,120,0,1,29,135,125,125
12,6,6,3,0,1,120,85,100,0,2,28,165,160,170
12,6,7,16,0,0.5,145,140,130,0,2,28,175,180,155
12,6,8,12,0,1,135,100,100,0,0,30,160,120,145
12,7,1,19,0,1,150,70,90,0,16,14,300,275,285
12,7,4,16,0,1,140,60,80,0,25,5,210,200,220
12,7,5,29,0,1,135,80,55,0,26,4,270,325,220
12,7,6,23,0,1,120,70,80,0,25,5,270,175,195
12,7,3,19,0,1,145,80,85,0,22,8,310,225,300
12,7,7,24,0,1,130,85,90,0,23,7,270,290,235
12,7,2,7,0,1,130,70,90,0,23,7,215,290,265
12,7,8,9,0,1,130,85,75,0,27,3,275,205,195
12,8,1,19,0,1,110,95,65,0,19,11,230,190,255
12,8,3,11,0,1,140,130,100,0,21,9,330,390,360
12,8,5,6,0,0.5,135,100,110,0,23,7,340,370,420
12,8,2,6,0,1,110,70,55,0,21,9,275,350,250
12,8,8,6,0,1,155,120,110,0,22,8,425,410,300
12,8,4,0,0,1,155,80,100,0,24,6,320,370,410
12,8,6,16,0,1,160,120,90,0,28,2,400,350,340
12,8,7,11,0,0.5,140,140,135,0,19,11,450,300,300
13,6,2,268,1,1,150,80,85,0,1,29,115,130,135
13,6,4,1,0,1,150,105,130,0,0,30,195,220,190
13,6,6,2,0,1,155,105,100,0,0,30,170,145,165
13,6,8,2,2,1,160,100,120,0,0,30,170,160,160
13,6,3,7,2,1,170,90,120,0,0,30,190,195,200
13,6,1,9,0,1,145,110,80,0,1,29,80,120,115
13,6,7,12,2,1,170,120,120,0,0,30,175,200,165
13,6,5,1,2,1,150,120,90,0,0,30,210,150,165
13,7,2,7,1,0.5,180,150,160,0,1,29,210,185,265
13,7,3,9,7,1,160,100,75,0,2,28,150,245,175
13,7,4,15,1,1,155,90,105,0,4,26,270,290,255
13,7,6,7,1,1,150,120,110,0,1,29,255,205,250
13,7,5,4,2,1,180,85,110,0,1,29,175,175,150
13,7,8,7,4,0.5,165,180,140,0,1,29,245,230,190
13,7,1,3,3,1,160,90,120,0,5,25,210,255,110
13,7,7,54,0,0.5,170,180,145,0,2,28,200,215,220
13,8,1,103,3,1,140,70,90,0,5,25,200,320,350
13,8,2,186,3,1,155,115,130,0,1,29,250,300,320
13,8,6,5,6,0.5,165,115,110,0,3,27,405,395,375
13,8,4,1,2,1,150,95,110,0,4,26,420,400,415
13,8,5,5,3,0.5,115,155,150,0,3,27,355,375,375
13,8,8,3,0,0.5,155,120,130,0,1,29,350,405,345
13,8,3,195,0,0.5,145,90,95,0,8,22,300,320,280
13,8,7,8,1,1,150,90,90,0,3,27,405,270,350
14,6,1,1,0,1,160,105,180,0,0,30,160,195,250
14,6,5,29,0,1,140,60,90,0,1,29,260,200,140
14,6,7,0,0,0.5,160,150,140,0,0,30,200,175,195
14,6,8,1,0,1,160,130,160,0,2,28,150,215,150
14,6,2,3,0,1,145,120,100,0,1,29,125,225,150
14,6,4,2,0,1,150,100,90,0,1,29,260,240,225
14,6,6,36,0,1,160,145,145,0,0,30,175,200,225
14,6,3,32,0,1,155,60,95,0,2,28,185,165,125
14,7,1,24,0,1,160,130,105,0,13,17,200,270,285
14,7,2,5,0,1,140,115,115,0,11,19,195,275,280
14,7,4,15,0,0.5,165,160,130,0,8,22,215,255,260
14,7,5,8,0,1,155,100,85,0,11,19,240,210,225
14,7,3,9,0,0.5,175,150,170,0,9,21,315,315,255
14,7,7,20,0,1,115,100,110,0,17,13,225,265,310
14,7,6,16,0,1,140,105,105,0,14,16,270,255,290
14,7,8,9,0,1,170,130,105,0,13,17,300,250,280
14,8,4,17,0,1,170,95,95,0,10,20,500,450,390
14,8,6,9,0,1,155,100,100,0,5,25,325,320,350
14,8,7,15,0,0.5,150,130,110,0,12,18,450,375,310
14,8,8,18,0,1,165,90,65,0,12,18,340,410,350
14,8,5,2,0,1,125,80,55,0,6,24,450,460,410
14,8,2,28,0,1,135,90,90,0,8,22,375,380,450
14,8,3,4,0,1,150,110,120,0,3,17,360,300,400
14,8,1,10,0,1,145,125,100,0,11,19,500,480,440
15,6,3,37,0,1,155,150,120,0,3,27,225,200,175
15,6,4,5,0,1,150,125,80,0,2,28,180,215,180
15,6,5,3,0,0.5,155,100,115,0,0,30,255,200,155
15,6,7,12,0,1,140,130,100,0,0,30,160,150,165
15,6,2,40,0,0.5,170,160,150,0,2,28,195,210,200
15,6,1,18,0,0.5,170,140,140,0,1,29,215,165,215
15,6,8,251,0,1,140,100,90,0,1,29,135,150,150
15,6,6,6,0,0.5,150,150,150,0,1,29,120,170,245
15,7,1,6,0,0.5,180,150,125,0,18,12,310,275,260
15,7,2,9,0,1,180,180,180,0,16,14,260,305,275
15,7,3,13,0,0.5,155,140,120,0,19,11,300,315,300
15,7,4,15,0,1,155,150,100,0,11,19,140,250,290
15,7,5,20,0,0.5,180,120,180,0,5,25,235,285,250
15,7,6,40,0,0.5,160,130,155,0,12,18,265,285,270
15,7,7,77,0,1,120,110,125,0,19,11,265,310,320
15,7,8,180,0,0.5,170,140,150,0,14,16,295,250,295
15,8,2,26,0,0.5,170,180,160,0,8,22,360,350,340
15,8,4,1,0,0.5,155,140,90,0,10,20,500,380,300
15,8,5,2,0,0.5,165,90,170,0,8,22,350,355,340
15,8,8,41,0,1,145,105,110,0,12,18,340,460,420
15,8,7,20,0,1,135,100,100,0,2,28,240,225,270
15,8,6,6,0,1,155,120,135,0,8,22,360,250,250
15,8,3,8,0,0.5,160,180,105,0,9,21,300,450,350
15,8,1,24,0,1,105,90,65,0,18,12,200,325,250
